fach,jahr,klausur_nr,thema,aufgabentyp,frage,antwort,punkte
FISI,2025,1,Netzwerkanalyse & Sicherheit,Zuordnung + Argumentation,"Ordnen Sie IP-Adressen im Netz /26 korrekt zu, nennen Sie vier Maßnahmen aus dem englischen Text zur Netzsicherheit und begründen Sie, warum Adminrechte für alle problematisch sind.","z. B. Memory Integrity, Firewall aktivieren, starke Passwörter, regelmäßige Updates.",9
FISI,2025,1,Webentwicklung & Analyse,Netzplan + Funktionsanalyse,"Vervollständigen Sie den Netzplan, erläutern Sie dynamische Webseiten, nennen Sie drei passende Sprachen und analysieren Sie eine Webfunktion per Beispielcode.","z. B. HTML, JavaScript, PHP; Output aus Webanalysefunktion berechnen und interpretieren.",10
FISI,2025,1,Cloud & KI,Bewertung & Berechnung,"Berechnen Sie Kosten für KI-Chatbot, bewerten Sie Einsatz auf Website, geben Sie Port + Verbindungstyp für SSH an, definieren Sie Redundanz.","z. B. 3 Anwälte × 100 €/Monat + Schulungskosten + Umsatzausfall = 4.800 €, SSH = Port 22.",9
FISI,2025,1,KI in der Kanzlei,Prozessanalyse,"Wählen Sie drei Prozessschritte beim Mandantenkontakt, in denen KI sinnvoll eingesetzt werden kann, und erläutern Sie einen Mitarbeitervorteil.","z. B. Datenaufnahme durch KI, Terminfindung automatisch, Entlastung bei Recherche; Vorteil: Zeitersparnis.",6
FISI,2021,2,Projektplanung,Netzplan + SMART,"Nennen Sie vier Projektmerkmale, vier SMART-Kriterien und vervollständigen Sie den Netzplan mit FAZ, FEZ, SAZ, SEZ, FP, GP.","z.B. Projekt = einmalig, zeitlich begrenzt; SMART = spezifisch, messbar, erreichbar, terminiert; Netzplan vollständig berechnet.",10
FISI,2021,2,Energieeffizienz + Skriptanalyse,Vergleich + Fehlerkorrektur,"Vergleichen Sie Energiekosten von zwei PCs, berechnen Sie Amortisation, prüfen Sie Anschlussleistung und korrigieren Sie zwei Fehler im PowerShell-Skript.","z.B. PC-B amortisiert sich nach 40 Monaten; Fehler: falscher Operator, falscher Wert bei Prozentrechnung.",10
FISI,2021,2,Migrationsplanung,Kosten- und Zeitberechnung,"Berechnen Sie die Kosten und Dauer für die Postfachmigration, bewerten Sie Remote-Wartung, benennen Sie RAID-Level-Vergleich.","z.B. 5.200 € Kosten, 3 Tage Dauer, RAID-5 empfohlen bei Redundanz und guter Speichernutzung.",10
FISI,2021,2,Schulung & Softwareeinweisung,Darstellung + Erklärung,"Erklären Sie drei Methoden zur Wissensvermittlung, z.B. Schulung am Arbeitsplatz, Webinare, Multiplikatoren. Erläutern Sie deren Vor- und Nachteile.","z.B. Schulung direkt = individuell, aber zeitintensiv; Webinare = ortsunabhängig, aber technisch anfällig.",6
FISI,2021,2,Datenschutz & Informationssicherheit,Kategorisierung + Schutzbedarf,"Ordnen Sie Sicherheitsmaßnahmen den Schutzzielen zu, nennen Sie BSI-Absicherungen, erläutern Sie Schutzbedarf und rechtliche Grundlagen.","z.B. Passwörter = Vertraulichkeit, RAID = Verfügbarkeit; DSGVO gilt für besonders schützenswerte Gesundheitsdaten.",10
FISI,2021,2,Datensicherung & Verbesserung,Risikoanalyse,Erläutern Sie zwei Risiken bei Sicherung auf lokaler Partition und schlagen Sie eine bessere Lösung vor.,"z.B. Datenverlust bei Hardwaredefekt, Diebstahlrisiko; Lösung: externe Backups + automatische Cloud-Sicherung.",4
FISI,2022,2,Projektarbeit & Wirtschaftlichkeitsanalyse,Kalkulation + Vergleich,"Berechnen Sie den effektiven Stundensatz interner Fachkräfte, vergleichen Sie Vertragsarten und erläutern Sie Projektschritte & Stakeholder.","Stundensatz ca. 81,40 €, Dienstvertrag empfohlen bei Beratungsleistungen.",10
FISI,2022,2,Datenspeicherung & Qualitätssicherung,Rechenaufgabe + Bewertung,"Berechnen Sie Scananzahl, Datenvolumen pro Scan und Tag, vergleichen Sie RAID 5 vs. JBOD und führen Sie SAN-Vorteile auf.","z. B. 70 MiB/Scan, 100.000 Scans ≈ 7 TB/Tag, RAID 5 spart Kapazität, bietet aber Redundanz.",10
FISI,2022,2,IPv6 & IoT-Netzplanung,Adressierung + Struktur,"Ermitteln Sie Standortpräfix und Teilnetz-ID, berechnen Sie nutzbare Netzwerke, weisen Sie IPv6-Adressen zu.","Prefix = 2001:0da8:5f2d, Teilnetz-ID = 0029, Loopback = ::1, Link-Local wird automatisch generiert.",10
FISI,2022,2,SQL + Maschinensteuerung,SQL-Abfragen + Steuerungsfunktion,Formulieren Sie SQL-Statements zur Selektion & Aggregation und schreiben Sie eine Funktion zur Maschinensteuerung in Pseudocode.,"SELECT Width, Length, ... FROM ProductionData WHERE OrderID = 736298; Funktionsaufruf mit getEmergencyStop() und setRollerDim().",10
FISI,2022,2,Relationale Datenmodellierung,ERM-Erstellung,"Ergänzen Sie ein ER-Diagramm mit Attributen, Kardinalitäten und Primärschlüsseln für Walzanlagen und Produktionsdaten.","1:n Beziehung, Walzanlage(PK: ID, Baujahr, Bezeichnung), Produktionsdaten(PK: ID, FK: WalzanlageID, Breite, Länge, Dicke, Menge, Zeitstempel).",6
FISI,2022,2,Produktionskennzeichnung & Bewertung,Begründung + Entscheidung,"Bewerten Sie QR vs. RFID, führen Sie Angebotsvergleich durch, nutzen Sie Gewichtung & Bewertungskriterien zur Lieferantenauswahl.","RFID = kontaktlos, aber teuer; QR = günstig, aber empfindlich. PC-Genie KG ist Gesamtsieger im gewichteten Vergleich.",8
FISI,2023,2,Prozessanalyse & Serviceverbesserung,Analyse + Diagramm,"Analysieren Sie den Serviceprozess, ergänzen Sie das UML-Diagramm, benennen Sie Kritikpunkte & Maßnahmen zur Servicequalität.","Störungsmeldung zu spät erfasst, unstrukturierte Planung. Verbesserung: automatisierte Ticketerfassung, kontinuierliche Bearbeitung.",10
FISI,2023,2,Telearbeit & Ergonomie,Begründung + Bewertung,"Nennen Sie Anforderungen an ergonomische Telearbeitsplätze, bewerten Sie Einsatz von Tablets vs. Notebooks, kalkulieren Sie Minutensatz der Hotline.","Notebook + Dockingstation empfohlen. Tablets ungeeignet wegen Bildschirmgröße & Eingabe. Hotline: 0,71 €/Minute bei 24/7-Support.",10
FISI,2023,2,Datenschutz & Zugriffsschutz,Begründung + Bewertung,"Nennen Sie rechtliche Grundlagen für Datenschutz, begründen Sie Passwortsicherheit, bewerten Sie Backup-Methoden & Wiederherstellungsoptionen.","DSGVO, BDSG. Sicheres Passwort = Sonderzeichen, Länge. Empfehlung: TPM-gestützte Verschlüsselung + externe Sicherung.",10
FISI,2023,2,Projektplanung & Gantt,Reihenfolge + Abhängigkeiten,"Bringen Sie Projektphasen in richtige Reihenfolge, erstellen Sie Gantt-Diagramm und ermitteln Sie Pufferzeit.",Logischer Ablauf von Analyse bis Wartung. Projekt dauert min. 17 Tage. Größter Puffer bei Vorgang D.,10
FISI,2023,2,Datenmodellierung & SQL,ER-Modell + SQL-Abfragen,"Erweitern Sie das Datenmodell um Tätigkeiten, erstellen Sie SQL-Abfragen für Ticketanzahl, Kundenzahl & veraltete offene Tickets.","Zusätzliche Tabelle Tätigkeit (Start, Ende, Beschreibung), SQL mit COUNT(), GROUP BY, WHERE & DATE.",10
FISI,2023,2,Kundenkommunikation & Servicepreis,Argumentation & Modellbewertung,"Bewerten Sie Kundenreaktion mit 4-Ohren-Modell, nennen Sie Preisfaktoren laut Artikel, analysieren Sie Servicekommunikation.","4-Ohren: Appell = 'Senkt die Preise!'. Preisfaktoren: Kosten, Markt, Kunden, Modellwahl. Service = transparent erklären.",6
FISI,2024,2,IT-Grundschutz & Netzwerkinfrastruktur,Analyse + Umsetzung,"Nennen Sie Maßnahmen zur Zutrittskontrolle, analysieren Sie Risiken im Besprechungsraum, konfigurieren Sie Netzwerk & Sicherheit für einen Präsentations-PC.","Techniken: Chipkarte, Fingerabdruck, RFID. Risiken: BYOD, offene Fenster, lose Kabel. Statische IP, getrenntes Netz, Minimalkonfiguration.",10
FISI,2024,2,Softwareentwicklung & UML,Bewertung + Diagramm,"Bewerten Sie Vor- & Nachteile von Fremdvergabe, vergleichen Sie Übersetzungsverfahren und ergänzen Sie ein UML-Use-Case-Diagramm.","Fremdvergabe = Verlust Know-how. Compiler = einmalig, Interpreter = bei jeder Ausführung. Use-Case: Türen öffnen, Autorisierung prüfen, Schlösser programmieren.",9
FISI,2024,2,Hardwarebeschaffung & Kompatibilität,Rechnen + Entscheidung,"Berechnen Sie Kreditkosten für Laptopkauf, prüfen Sie RAM-Kompatibilität, empfehlen Sie SSD-Ersatz, benennen Sie Gefahren durch Phishing.","HDD durch SSD ersetzen = schneller. Nur DDR4-3200MHz kompatibel. Phishing = Datenklau, Erkennung durch fehlerhafte URLs, Maßnahmen: Awareness + Mailfilter.",10
FISI,2024,2,Kostenkalkulation & Gesamtprojektbewertung,Kalkulation + Entscheidung,"Berechnen Sie Kosten für Schließsystem inkl. Lizenzen über 5 Jahre, nennen Sie Argumente für interne Entwicklung, prüfen Sie Projektplanung mit Gantt.","Kosten = Material + Lizenz über 5 Jahre. Vorteile Inhouse: Kontrolle, Know-how. Gantt-Diagramm mit Abhängigkeiten und Pufferzeiten.",10
FISI,2024,2,Datensicherheit + Schutzmaßnahmen,Maßnahmen + Begründung,"Erklären Sie TPM-gestützte Verschlüsselung, VPN-Vorteile, digitale Zertifikate zur Authentifizierung, bewerten Sie Datenschutzmaßnahmen am Arbeitsplatz.","TPM speichert Schlüssel, schützt Daten bei Diebstahl. VPN = verschlüsselte Verbindung. Zertifikat = Identitätsnachweis.",9
FISI,2024,2,Produktionsdokumentation & Datenmodell,Modellierung + Ökologie,"Erklären Sie Lasten-/Pflichtenheft, modellieren Sie Datenbankstruktur, nennen Sie Vorteile von Leasing und ökologische Aspekte bei Maschinenbeschaffung.","Lastenheft = Kundensicht, Pflichtenheft = Lösung. ER-Modell mit Beziehung Auftrag–Mitarbeiter. Leasing: Liquidität, ökologisch: Energieeffizienz, Recycling.",8
